SP,RP,SRP,LRP,FHP,BHP,RANK,RANKDIFF,SA,SRA,FHA,BALANCE,WON,Player ID
0.509,0.491,0.333,0.667,0.745,0.255,30,-0.2934607304818288,0.018,-0.334,0.49,0.4186893203883496,1.0,14
0.571,0.429,0.333,0.667,0.428,0.572,82,0.2934607304818288,0.1419999999999999,-0.334,-0.1439999999999999,0.28398058252427183,-1.0,54
0.567,0.433,0.324,0.676,0.729,0.271,50,0.04514780468951212,0.1339999999999999,-0.352,0.4579999999999999,0.48058252427184467,1.0,29
0.592,0.408,0.259,0.741,0.74,0.26,42,-0.04514780468951212,0.184,-0.482,0.48,0.6031553398058254,-1.0,16
0.571,0.429,0.285,0.715,0.571,0.429,54,-0.04514780468951212,0.1419999999999999,-0.43,0.1419999999999999,0.34101941747572806,-1.0,32
0.555,0.445,0.305,0.695,0.542,0.458,62,0.04514780468951212,0.11,-0.3899999999999999,0.084,0.2621359223300971,1.0,20
0.5,0.5,0.3,0.7,0.775,0.225,10,-0.378112864274664,0.0,-0.3999999999999999,0.55,0.4842233009708738,1.0,4
0.5,0.5,0.227,0.773,0.59,0.41,77,0.378112864274664,0.0,-0.546,0.18,0.3483009708737865,-1.0,44
0.542,0.458,0.371,0.629,0.714,0.286,50,-0.06772170703426818,0.084,-0.258,0.428,0.375,1.0,29
0.619,0.381,0.428,0.572,0.714,0.286,62,0.06772170703426818,0.238,-0.1439999999999999,0.428,0.3992718446601941,-1.0,20
0.567,0.433,0.27,0.73,0.638,0.362,42,-2.8048073663359405,0.1339999999999999,-0.4599999999999999,0.276,0.4356796116504855,1.0,16
0.571,0.429,0.25,0.75,0.642,0.358,539,2.8048073663359405,0.1419999999999999,-0.5,0.284,0.4696601941747573,-1.0,33
0.512,0.488,0.219,0.781,0.707,0.293,77,-0.28217377930945076,0.024,-0.562,0.414,0.5145631067961166,1.0,44
0.533,0.467,0.3,0.7,0.466,0.534,127,0.28217377930945076,0.066,-0.3999999999999999,-0.068,0.23179611650485446,-1.0,36
0.558,0.442,0.411,0.589,0.5,0.5,62,-0.7675126797217061,0.116,-0.178,0.0,0.08616504854368945,-1.0,20
0.534,0.466,0.348,0.652,0.604,0.396,198,0.7675126797217061,0.068,-0.304,0.2079999999999999,0.2597087378640777,1.0,37
0.409,0.591,0.227,0.773,0.681,0.319,42,-0.4796954248260663,-0.182,-0.546,0.362,0.5691747572815534,-1.0,16
0.411,0.589,0.352,0.648,0.617,0.383,127,0.4796954248260663,-0.178,-0.296,0.2339999999999999,0.3373786407766991,1.0,36
0.55,0.45,0.325,0.675,0.7,0.3,288,0.0,0.1,-0.35,0.3999999999999999,0.42354368932038844,1.0,19
0.555,0.445,0.472,0.528,0.555,0.445,208,0.0,0.11,-0.056,0.11,0.07524271844660205,-1.0,38
0.476,0.524,0.285,0.715,0.619,0.381,88,-0.016930426758567044,-0.048,-0.43,0.238,0.3422330097087379,-1.0,21
0.5,0.5,0.205,0.795,0.676,0.324,91,0.016930426758567044,0.0,-0.5900000000000001,0.352,0.4793689320388351,1.0,55
0.727,0.273,0.272,0.728,0.545,0.455,128,0.5812779853774686,0.4539999999999999,-0.4559999999999999,0.09,0.5145631067961166,-1.0,49
0.575,0.425,0.515,0.485,0.468,0.532,25,-0.5812779853774686,0.1499999999999999,0.03,-0.064,0.055825242718446653,1.0,10
0.611,0.389,0.25,0.75,0.583,0.417,46,-0.5869214609636576,0.2219999999999999,-0.5,0.1659999999999999,0.4466019417475729,1.0,42
0.594,0.406,0.243,0.757,0.675,0.325,150,0.5869214609636576,0.1879999999999999,-0.514,0.35,0.5461165048543691,-1.0,45
0.578,0.422,0.289,0.711,0.756,0.244,21,-2.646790049922648,0.1559999999999999,-0.422,0.512,0.5691747572815534,1.0,28
0.628,0.372,0.342,0.658,0.657,0.343,490,2.646790049922648,0.256,-0.316,0.314,0.44538834951456313,-1.0,23
0.583,0.417,0.222,0.778,0.771,0.229,21,0.01128695117237803,0.1659999999999999,-0.556,0.542,0.6747572815533981,1.0,28
